name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
django__django-16082,0.16183825,16,0,2
django__django-14170,0.20752925000000003,17,0,2
sphinx-doc__sphinx-9658,0.38365600000000005,23,0,4
django__django-11815,0.12709474999999998,10,0,1
pytest-dev__pytest-7521,0.14270875000000002,12,0,1
matplotlib__matplotlib-24177,0.433189,22,0,1
django__django-15252,0.414119,32,0,2
scikit-learn__scikit-learn-13779,0.07326150000000001,6,0,2
sympy__sympy-12489,0.3513230000000001,21,0,2
django__django-16429,0.14688275,12,0,2
django__django-11276,0.13922725,11,0,2
django__django-17084,0.39827775,25,0,1
astropy__astropy-14369,0.18569349999999998,11,0,1
sympy__sympy-18199,0.15641225,10,0,2
django__django-13590,0.13414650000000003,12,0,3
django__django-14631,0.3927757499999999,25,0,2
matplotlib__matplotlib-23476,0.22624825,17,0,2
pydata__xarray-7233,0.12062250000000001,9,0,2
django__django-13741,0.19838925000000002,14,0,5
psf__requests-5414,0.26560324999999996,18,0,1
django__django-15127,0.16682350000000004,18,0,2
django__django-15503,0.45027449999999997,28,0,2
pydata__xarray-3677,0.15750975000000003,12,0,2
mwaskom__seaborn-3069,0.38644049999999996,25,0,3
django__django-11066,0.08849525,10,0,1
django__django-16256,0.07463975,7,0,2
django__django-16612,0.15670824999999997,13,0,5
django__django-16938,0.1063335,10,0,2
scikit-learn__scikit-learn-13135,0.12322925,9,0,2
sympy__sympy-22456,0.31603250000000005,18,0,3
scikit-learn__scikit-learn-11310,0.177933,16,0,4
sympy__sympy-13877,0.12830025,10,0,2
django__django-15629,0.32045949999999995,24,0,3
psf__requests-1142,0.14804800000000004,11,0,2
django__django-15467,0.14424825,16,0,2
django__django-16595,0.24559800000000004,19,0,2
sympy__sympy-23413,0.8485097500000003,33,0,3
django__django-11133,0.1541,13,0,3
scikit-learn__scikit-learn-12973,0.10808875,9,0,1
django__django-11119,0.11345125,12,0,2
django__django-11163,0.06117450000000001,6,0,1
astropy__astropy-13033,0.18766000000000005,12,0,3
sympy__sympy-13031,0.16061224999999998,11,0,2
django__django-16502,0.21593900000000002,15,0,2
scikit-learn__scikit-learn-15100,0.13409400000000005,11,0,2
sphinx-doc__sphinx-8459,0.22638275000000002,18,0,3
django__django-11749,0.14126100000000003,9,0,1
matplotlib__matplotlib-21568,0.14271250000000002,12,0,2
scikit-learn__scikit-learn-11578,0.21247975000000002,18,0,2
django__django-13925,0.12242075,13,0,2
