name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
astropy__astropy-13033,0.08646885000000001,6,0,0
django__django-14170,0.08913105,13,0,2
django__django-16612,0.01688895,5,0,0
sympy__sympy-13031,0.0282852,3,0,0
django__django-17084,0.03743325,3,0,0
sympy__sympy-22456,0.0225261,3,0,0
django__django-15467,0.0189972,5,0,2
django__django-13590,3.0218094000000013,180,0,0
django__django-16256,0.09724545,22,0,1
django__django-16082,0.01722915,3,0,0
django__django-14631,0.0520884,8,0,0
matplotlib__matplotlib-23476,0.03601395,3,0,0
scikit-learn__scikit-learn-12973,0.025176599999999997,4,0,2
sphinx-doc__sphinx-9658,0.09036809999999999,20,0,0
django__django-11066,0.0128403,6,0,2
django__django-11815,0.021871800000000004,3,0,0
mwaskom__seaborn-3069,0.0336186,7,0,0
pydata__xarray-3677,0.01609335,3,0,0
psf__requests-5414,1.1415861,102,0,8
pydata__xarray-7233,0.04509495,3,0,0
django__django-15252,0.026946,3,0,0
django__django-13741,0.029196899999999998,9,0,0
sphinx-doc__sphinx-8459,0.08485245000000001,3,0,0
scikit-learn__scikit-learn-15100,0.02361645,8,0,0
scikit-learn__scikit-learn-13135,3.0078391499999997,151,0,1
sympy__sympy-12489,0.0101286,3,0,0
matplotlib__matplotlib-24177,0.05842125,6,0,0
pytest-dev__pytest-7521,0.03644775,5,0,1
sympy__sympy-18199,0.09012419999999999,9,0,0
django__django-16502,0.10735379999999999,13,0,0
django__django-15503,0.07167735,3,0,1
django__django-11133,0.015000300000000001,4,0,0
scikit-learn__scikit-learn-11578,0.040073849999999994,14,0,0
django__django-11276,0.10004445,15,0,0
scikit-learn__scikit-learn-11310,0.045891,6,1,2
django__django-11163,0.00899595,3,0,0
astropy__astropy-14369,0.08367255000000001,10,0,0
sympy__sympy-13877,0.0428598,5,0,1
django__django-11749,0.04608809999999999,6,0,0
django__django-16595,0.08298269999999999,11,0,0
matplotlib__matplotlib-21568,0.03963285,8,0,0
sympy__sympy-23413,0.17986364999999999,10,0,0
django__django-15127,0.035943750000000003,4,0,2
psf__requests-1142,0.0273546,3,0,0
django__django-11119,0.0325665,8,0,1
django__django-16938,0.1447074,18,0,0
django__django-13925,0.0377289,4,0,0
django__django-15629,0.04059765,4,0,0
scikit-learn__scikit-learn-13779,0.0986391,14,0,1
django__django-16429,0.05000085,4,0,0
