name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
scikit-learn__scikit-learn-12973,0.07941499999999999,8,0,0
django__django-11749,0.5169125,24,0,0
django__django-15127,0.23712500000000003,16,1,1
django__django-11119,0.470465,25,0,0
django__django-16612,0.428675,23,0,0
psf__requests-5414,3.0085125000000006,68,0,0
django__django-16429,0.42851500000000003,22,0,0
pytest-dev__pytest-7521,1.0058025000000002,25,0,0
mwaskom__seaborn-3069,0.25172000000000005,15,1,0
sympy__sympy-23413,0.7450250000000002,29,4,3
django__django-13590,0.9154700000000002,38,2,0
django__django-15629,1.4131325,38,0,0
sympy__sympy-13031,3.0237499999999997,67,1,0
astropy__astropy-14369,0.7835775000000001,26,0,0
sphinx-doc__sphinx-9658,1.0582625,29,0,0
django__django-15503,0.45590249999999993,19,0,0
pydata__xarray-7233,3.0263825000000004,65,0,0
django__django-11133,0.23553250000000006,17,0,0
matplotlib__matplotlib-21568,0.3024,18,1,0
psf__requests-1142,3.04248,80,1,1
pydata__xarray-3677,3.005052500000001,64,0,0
django__django-16595,0.504905,19,1,0
django__django-17084,0.38784500000000005,20,2,0
sympy__sympy-12489,3.0476475000000005,70,0,0
django__django-16938,1.0726425000000004,26,1,0
scikit-learn__scikit-learn-15100,0.20086000000000004,12,0,0
matplotlib__matplotlib-23476,2.7143775000000003,45,0,0
django__django-16502,1.5819849999999998,47,2,1
django__django-14631,2.1178574999999995,50,0,0
sympy__sympy-13877,0.5315125,18,2,0
scikit-learn__scikit-learn-13779,1.5480175,58,0,0
matplotlib__matplotlib-24177,2.16616,43,0,0
django__django-15252,3.0132600000000007,63,0,0
django__django-11066,0.10752999999999999,8,0,0
django__django-14170,3.096982500000001,59,0,0
django__django-16082,0.274505,17,1,0
django__django-15467,0.2330625,17,1,0
django__django-16256,0.2582025,13,0,0
django__django-13741,0.0915775,9,0,0
django__django-11815,0.5823125,27,0,0
django__django-13925,0.16514500000000004,10,1,0
django__django-11276,0.2062075,15,0,0
scikit-learn__scikit-learn-13135,3.0245850000000005,44,0,0
sympy__sympy-22456,0.21173,12,1,0
sympy__sympy-18199,0.5000625000000001,27,0,0
astropy__astropy-13033,0.32797750000000003,16,7,0
scikit-learn__scikit-learn-11578,0.12954500000000002,7,0,0
django__django-11163,0.2981425,21,0,0
scikit-learn__scikit-learn-11310,1.7845550000000001,48,0,0
sphinx-doc__sphinx-8459,3.075465000000001,59,3,0
