name,instance_cost,api_calls
scikit-learn__scikit-learn-12973,0.3169394,12
django__django-11749,0.10617935,15
django__django-15127,0.1345707,14
django__django-11119,0.09764115000000004,36
django__django-16612,0.04388945000000001,13
psf__requests-5414,0.2992496,64
django__django-16429,0.12982245,3
pytest-dev__pytest-7521,0.11858505,22
mwaskom__seaborn-3069,0.121313,2
sympy__sympy-23413,0.4028645,2
django__django-13590,0.192395,2
django__django-15629,0.30053379999999996,21
sympy__sympy-13031,0.2259994500000001,52
astropy__astropy-14369,0.62529645,25
sphinx-doc__sphinx-9658,0.31102040000000003,51
django__django-15503,3.1236807,41
pydata__xarray-7233,0.27521670000000004,15
django__django-11133,0.09547194999999999,33
matplotlib__matplotlib-21568,0.21231729999999996,36
psf__requests-1142,0.2514436,49
pydata__xarray-3677,0.28056264999999997,12
django__django-16595,0.12031035000000001,21
django__django-17084,0.35530264999999983,88
sympy__sympy-12489,0.15336404999999997,42
django__django-16938,0.20487809999999995,18
scikit-learn__scikit-learn-15100,0.05345085,14
matplotlib__matplotlib-23476,0.3563445,2
django__django-16502,0.2363456,12
django__django-14631,0.37893039999999995,19
sympy__sympy-13877,0.11098770000000001,14
scikit-learn__scikit-learn-13779,0.7379891500000001,31
matplotlib__matplotlib-24177,0.83052625,79
django__django-15252,0.38682289999999997,63
django__django-11066,0.1143875,19
django__django-14170,0.29240945,19
django__django-16082,0.8148449499999999,22
django__django-15467,0.08143,25
django__django-16256,0.5161494,32
django__django-13741,0.1053421,7
django__django-11815,0.18762954999999998,38
django__django-13925,0.1272613,23
django__django-11276,0.07757525,21
scikit-learn__scikit-learn-13135,0.13956254999999998,13
sympy__sympy-22456,0.279947,58
sympy__sympy-18199,0.06278035,7
astropy__astropy-13033,0.7538151999999999,18
scikit-learn__scikit-learn-11578,0.2554843,37
django__django-11163,0.019675299999999996,11
scikit-learn__scikit-learn-11310,0.33869505,30
sphinx-doc__sphinx-8459,0.40282494999999996,43
