name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
django__django-16082,0.1706525,12,2,2
django__django-14170,0.17007,16,3,1
sphinx-doc__sphinx-9658,0.36598175,20,5,5
django__django-11815,0.146507,8,4,3
pytest-dev__pytest-7521,0.18938025000000003,14,3,3
matplotlib__matplotlib-24177,0.38938500000000004,23,7,2
django__django-15252,0.4264200000000001,20,8,6
scikit-learn__scikit-learn-13779,0.171464,10,4,3
sympy__sympy-12489,0.555315,24,7,1
django__django-16429,0.13812200000000002,11,4,3
django__django-11276,0.2080975,13,5,4
django__django-17084,0.28066225000000006,23,4,4
astropy__astropy-14369,0.18553325000000004,12,2,2
sympy__sympy-18199,0.16025025,11,5,4
django__django-13590,0.12421650000000001,13,3,3
django__django-14631,0.520047,28,6,6
matplotlib__matplotlib-23476,0.26162525000000003,19,5,5
pydata__xarray-7233,0.105347,8,1,1
django__django-13741,0.135296,10,5,2
psf__requests-5414,0.16589675000000004,12,5,2
django__django-15127,0.12182825,13,4,1
django__django-15503,0.48458625,27,5,2
pydata__xarray-3677,0.13391625,12,4,2
mwaskom__seaborn-3069,0.8441527500000002,39,3,2
django__django-11066,0.078842,6,3,3
django__django-16256,0.339185,16,9,5
django__django-16612,0.24433050000000003,16,6,1
django__django-16938,0.17598824999999998,10,3,0
scikit-learn__scikit-learn-13135,0.07155525,5,2,2
sympy__sympy-22456,0.2085415,10,4,2
scikit-learn__scikit-learn-11310,0.28503625,18,2,2
sympy__sympy-13877,0.19612675000000002,11,5,4
django__django-15629,0.19550050000000005,19,2,2
psf__requests-1142,0.21490525000000005,15,4,4
django__django-15467,0.20196000000000003,14,4,4
django__django-16595,0.17686475,12,3,3
sympy__sympy-23413,0.3373162500000001,13,7,3
django__django-11133,0.09526825000000001,6,2,2
scikit-learn__scikit-learn-12973,0.17545025000000003,12,3,1
django__django-11119,0.06658649999999999,7,2,2
django__django-11163,0.1405085,11,6,5
astropy__astropy-13033,0.286509,16,6,2
sympy__sympy-13031,0.23929875,15,3,3
django__django-16502,0.14061800000000002,9,3,1
scikit-learn__scikit-learn-15100,0.11398600000000002,11,3,2
sphinx-doc__sphinx-8459,0.1403685,14,2,2
django__django-11749,0.14672274999999999,9,2,1
matplotlib__matplotlib-21568,0.18039100000000002,10,4,1
scikit-learn__scikit-learn-11578,0.1049825,7,4,1
django__django-13925,0.19436975000000004,15,6,2
