name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
astropy__astropy-13033,0.14316659999999998,14,0,0
django__django-14170,0.0309105,3,0,0
django__django-16612,0.0227736,3,1,1
sympy__sympy-13031,0.06113835000000001,5,1,0
django__django-17084,0.06459255,5,0,0
sympy__sympy-22456,0.0647505,7,2,2
django__django-15467,0.0214758,4,0,0
django__django-13590,0.01386225,3,1,1
django__django-16256,0.12696029999999997,15,0,0
django__django-16082,0.0572499,8,1,1
django__django-14631,0.05595165,6,0,0
matplotlib__matplotlib-23476,0.03660435,3,0,0
scikit-learn__scikit-learn-12973,0.11892915,9,2,2
sphinx-doc__sphinx-9658,0.0374751,5,1,0
django__django-11066,0.0222057,7,0,0
django__django-11815,0.17647829999999998,16,0,0
mwaskom__seaborn-3069,0.03770865,8,0,0
pydata__xarray-3677,0.1699524,12,2,2
psf__requests-5414,0.0396522,3,0,0
pydata__xarray-7233,0.19414035,8,3,3
django__django-15252,0.03185955,3,0,0
django__django-13741,0.02703285,7,0,0
sphinx-doc__sphinx-8459,0.04889115,6,0,0
scikit-learn__scikit-learn-15100,0.0212661,5,0,0
scikit-learn__scikit-learn-13135,0.10423529999999999,11,0,0
sympy__sympy-12489,0.01508265,3,0,0
matplotlib__matplotlib-24177,0.14814045,11,2,2
pytest-dev__pytest-7521,0.2010186,15,0,0
sympy__sympy-18199,0.0529236,6,0,0
django__django-16502,0.0723636,7,2,2
django__django-15503,0.0386721,3,0,0
django__django-11133,0.056930400000000006,5,0,0
scikit-learn__scikit-learn-11578,0.0260469,3,0,0
django__django-11276,0.029569049999999996,9,1,1
scikit-learn__scikit-learn-11310,0.0447192,8,0,0
django__django-11163,0.010404,3,0,0
astropy__astropy-14369,0.19458135,15,1,1
sympy__sympy-13877,0.0229608,3,0,0
django__django-11749,0.039060899999999996,7,1,1
django__django-16595,0.10320075000000001,5,0,0
matplotlib__matplotlib-21568,3.004146,108,0,0
sympy__sympy-23413,0.0983376,7,1,1
django__django-15127,0.1806129,27,0,0
psf__requests-1142,0.032344649999999996,7,1,0
django__django-11119,0.06087465,3,1,1
django__django-16938,0.0372078,3,0,0
django__django-13925,0.023010749999999996,4,0,0
django__django-15629,0.09069525,10,0,0
scikit-learn__scikit-learn-13779,0.0689931,3,1,1
django__django-16429,0.06605325,24,0,0
