name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
django__django-16082,0.1804345,12,6,0
django__django-14170,0.19027800000000003,14,8,0
sphinx-doc__sphinx-9658,0.313688,17,9,0
django__django-11815,0.11372050000000002,9,4,0
pytest-dev__pytest-7521,0.21168700000000001,14,3,0
matplotlib__matplotlib-24177,0.4587714999999999,19,10,0
django__django-15252,0.2169715,17,6,0
scikit-learn__scikit-learn-13779,0.15421225,15,6,0
sympy__sympy-12489,0.2952405,14,7,0
django__django-16429,0.10385850000000002,7,4,0
django__django-11276,0.1683455,12,8,0
django__django-17084,0.2886655000000001,22,7,0
astropy__astropy-14369,0.2049645,15,5,0
sympy__sympy-18199,0.17222800000000002,10,5,0
django__django-13590,0.26487125000000006,18,9,0
django__django-14631,0.37609450000000005,20,8,0
matplotlib__matplotlib-23476,0.33896850000000006,20,5,0
pydata__xarray-7233,0.06890475,6,3,0
django__django-13741,0.20038725000000002,14,9,0
psf__requests-5414,0.387906,21,8,0
django__django-15127,0.12923400000000002,13,7,0
django__django-15503,0.5696630000000001,27,16,0
pydata__xarray-3677,0.1295245,11,3,0
mwaskom__seaborn-3069,0.31790100000000004,24,10,0
django__django-11066,0.060830249999999995,6,4,0
django__django-16256,0.28699425,16,6,0
django__django-16612,0.18924425000000003,15,8,0
django__django-16938,0.2690735,14,5,0
scikit-learn__scikit-learn-13135,0.1467265,10,5,0
sympy__sympy-22456,0.22638625,12,5,0
scikit-learn__scikit-learn-11310,0.13898125,13,2,0
sympy__sympy-13877,0.2272375,13,6,0
django__django-15629,0.30068900000000004,21,4,0
psf__requests-1142,0.23439624999999994,17,8,0
django__django-15467,0.23861450000000003,18,13,0
django__django-16595,0.08185775,10,3,0
sympy__sympy-23413,0.28454325,11,3,0
django__django-11133,0.17518200000000003,11,6,0
scikit-learn__scikit-learn-12973,0.08741575000000001,5,3,0
django__django-11119,0.0948955,10,6,0
django__django-11163,0.1120765,8,6,0
astropy__astropy-13033,0.1809365,11,7,0
sympy__sympy-13031,0.16159225000000002,13,3,0
django__django-16502,0.19372450000000002,9,5,0
scikit-learn__scikit-learn-15100,0.14556400000000003,12,8,0
sphinx-doc__sphinx-8459,0.36317625,22,4,0
django__django-11749,0.19795300000000002,12,8,0
matplotlib__matplotlib-21568,0.20208700000000002,11,5,0
scikit-learn__scikit-learn-11578,0.0943535,8,4,0
django__django-13925,0.141785,11,5,0
