name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
astropy__astropy-13033,3.0071578499999996,96,0,0
django__django-14170,0.036823949999999994,3,0,0
django__django-16612,0.0220176,3,1,0
sympy__sympy-13031,0.094293,9,1,0
django__django-17084,0.038981249999999995,3,1,0
sympy__sympy-22456,0.0600894,7,0,0
django__django-15467,0.0100746,4,0,0
django__django-13590,0.020417849999999998,3,0,0
django__django-16256,0.097659,16,1,0
django__django-16082,0.2601927,7,1,0
django__django-14631,0.023931,5,0,0
matplotlib__matplotlib-23476,0.030942900000000002,6,0,0
scikit-learn__scikit-learn-12973,0.01666575,4,0,0
sphinx-doc__sphinx-9658,0.0393822,5,1,0
django__django-11066,0.0109503,3,1,0
django__django-11815,0.061075349999999994,5,1,0
mwaskom__seaborn-3069,0.03913065,3,0,0
pydata__xarray-3677,0.01374615,3,0,0
psf__requests-5414,0.013787549999999999,3,0,0
pydata__xarray-7233,3.0259989000000003,89,1,0
django__django-15252,0.029870100000000004,3,0,0
django__django-13741,0.00953055,3,1,0
sphinx-doc__sphinx-8459,0.01338435,3,0,0
scikit-learn__scikit-learn-15100,0.02050245,3,0,0
scikit-learn__scikit-learn-13135,0.045641249999999994,3,0,0
sympy__sympy-12489,0.0346311,4,0,0
matplotlib__matplotlib-24177,0.03887505,3,0,0
pytest-dev__pytest-7521,0.0285399,3,1,0
sympy__sympy-18199,0.0337599,3,1,0
django__django-16502,0.10741049999999998,17,0,0
django__django-15503,0.045043650000000005,3,1,0
django__django-11133,0.028297799999999998,3,1,0
scikit-learn__scikit-learn-11578,0.0330219,3,0,0
django__django-11276,0.01837485,6,0,0
scikit-learn__scikit-learn-11310,0.025834049999999997,4,0,0
django__django-11163,0.0095049,3,0,0
astropy__astropy-14369,0.08845965,7,0,0
sympy__sympy-13877,0.06299685,6,2,0
django__django-11749,0.02809665,3,1,0
django__django-16595,0.046954800000000005,10,0,0
matplotlib__matplotlib-21568,0.08792775,7,1,0
sympy__sympy-23413,0.07012035,4,0,0
django__django-15127,0.01938555,3,1,0
psf__requests-1142,0.02412765,4,0,0
django__django-11119,0.0167301,3,1,0
django__django-16938,3.0077550000000004,87,1,0
django__django-13925,3.00221145,129,2,0
django__django-15629,0.09781830000000001,11,0,0
scikit-learn__scikit-learn-13779,0.0354978,11,1,0
django__django-16429,0.022060800000000002,3,0,0
