name,instance_cost,api_calls
psf__requests-5414,0.2723692499999999,75
astropy__astropy-14369,0.16351355,37
sympy__sympy-13031,0.06136364999999999,19
matplotlib__matplotlib-21568,0.17450895000000002,43
django__django-15503,0.4259958500000001,81
django__django-11119,0.09755395000000001,28
django__django-16429,0.07202520000000001,19
scikit-learn__scikit-learn-11578,0.0870953,20
django__django-11276,0.21969274999999996,64
django__django-15252,0.48444130000000013,76
django__django-14631,0.5691211500000001,112
scikit-learn__scikit-learn-13135,0.16353825000000002,36
django__django-11749,0.27254535,58
sympy__sympy-22456,0.3341567000000001,78
scikit-learn__scikit-learn-11310,0.15325315000000003,36
mwaskom__seaborn-3069,0.4746467500000001,95
django__django-16938,0.3599671,73
django__django-13590,0.16420739999999998,39
pydata__xarray-7233,0.11408924999999999,27
django__django-11815,0.23400515,53
sphinx-doc__sphinx-9658,0.2570731999999999,62
django__django-17084,0.3026117000000001,58
scikit-learn__scikit-learn-15100,0.11651325,26
django__django-16082,0.20255579999999998,51
django__django-15127,0.13723340000000003,36
sympy__sympy-18199,0.0905566,23
astropy__astropy-13033,0.15667864999999997,40
django__django-11163,0.10977970000000002,33
psf__requests-1142,0.1351695,33
pytest-dev__pytest-7521,0.09723040000000001,31
django__django-13741,0.0859553,28
django__django-15629,0.4632953000000002,102
sympy__sympy-23413,0.6531817,93
django__django-16256,0.13661515000000005,25
pydata__xarray-3677,0.08768950000000002,23
sphinx-doc__sphinx-8459,0.20692444999999995,44
scikit-learn__scikit-learn-13779,0.08974270000000001,24
django__django-15467,0.09789410000000001,29
matplotlib__matplotlib-24177,0.3892788,58
sympy__sympy-12489,0.4882769500000001,80
django__django-13925,0.3346779499999999,73
scikit-learn__scikit-learn-12973,0.14043335000000007,36
sympy__sympy-13877,0.11923940000000004,36
django__django-14170,0.21141470000000007,50
django__django-11133,0.1233426,28
django__django-16595,0.20904350000000002,20
matplotlib__matplotlib-23476,0.1408183,40
django__django-11066,0.032696600000000006,8
django__django-16502,0.31812635,59
django__django-16612,0.19082855,56
