name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
scikit-learn__scikit-learn-12973,0.01111165,7,,
django__django-11749,0.0157204,9,,
django__django-15127,0.017233349999999998,8,,
django__django-11119,0.00937765,5,,
django__django-16612,0.025715950000000005,15,,
psf__requests-5414,0.026890849999999997,13,,
django__django-16429,0.014880099999999999,8,,
pytest-dev__pytest-7521,0.019631899999999997,12,,
mwaskom__seaborn-3069,0.08153630000000002,34,,
sympy__sympy-23413,0.0511617,19,,
django__django-13590,0.01388815,8,,
django__django-15629,0.10687995000000002,37,,
sympy__sympy-13031,0.027775050000000003,13,,
astropy__astropy-14369,0.046770849999999996,22,,
sphinx-doc__sphinx-9658,0.13284965000000004,40,,
django__django-15503,0.08695984999999999,33,,
pydata__xarray-7233,0.0071851499999999995,6,,
django__django-11133,0.0160946,7,,
matplotlib__matplotlib-21568,0.0225809,9,,
psf__requests-1142,0.0634133,28,,
pydata__xarray-3677,0.048028949999999994,20,,
django__django-16595,0.0183868,10,,
django__django-17084,0.03711269999999999,25,,
sympy__sympy-12489,0.03369955,15,,
django__django-16938,0.03940975,18,,
scikit-learn__scikit-learn-15100,0.019867199999999998,8,,
matplotlib__matplotlib-23476,0.0200874,15,,
django__django-16502,0.03064945,16,,
django__django-14631,0.0446585,21,,
sympy__sympy-13877,0.0366821,15,,
scikit-learn__scikit-learn-13779,0.058533649999999986,23,,
matplotlib__matplotlib-24177,0.09223875,36,,
django__django-15252,0.041104049999999996,21,,
django__django-11066,0.00785895,7,,
django__django-14170,0.04142944999999999,18,,
django__django-16082,0.014285949999999999,11,,
django__django-15467,0.0075298,5,,
django__django-16256,0.0248768,16,,
django__django-13741,0.0075508,6,,
django__django-11815,0.025017649999999995,14,,
django__django-13925,0.04025485,21,,
django__django-11276,0.016836099999999996,11,,
scikit-learn__scikit-learn-13135,0.01250945,8,,
sympy__sympy-22456,0.012633100000000001,8,,
sympy__sympy-18199,0.010985700000000001,9,,
astropy__astropy-13033,0.037932749999999994,17,,
scikit-learn__scikit-learn-11578,0.0170763,11,,
django__django-11163,0.0103061,6,,
scikit-learn__scikit-learn-11310,0.02045965,15,,
sphinx-doc__sphinx-8459,0.0509381,23,,
