name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits
astropy__astropy-13033,0.03888585,9,0,0
django__django-14170,0.0426528,5,0,0
django__django-16612,0.013372199999999999,4,0,0
sympy__sympy-13031,0.0406134,3,0,0
django__django-17084,0.029417849999999995,3,0,0
sympy__sympy-22456,0.028254599999999998,3,0,0
django__django-15467,0.023372999999999998,8,0,0
django__django-13590,0.01003365,3,0,0
django__django-16256,0.03310245,7,0,0
django__django-16082,0.05437890000000001,4,0,0
django__django-14631,0.0372969,3,0,0
matplotlib__matplotlib-23476,0.0221544,3,0,0
scikit-learn__scikit-learn-12973,0.05780205,11,0,0
sphinx-doc__sphinx-9658,0.025361550000000004,3,1,1
django__django-11066,0.031095900000000003,7,0,0
django__django-11815,0.0276678,5,0,0
mwaskom__seaborn-3069,0.01913625,6,0,0
pydata__xarray-3677,0.04341734999999999,3,0,0
psf__requests-5414,0.032794649999999995,3,0,0
pydata__xarray-7233,0.055576350000000004,3,0,0
django__django-15252,0.03004605,3,0,0
django__django-13741,0.0196587,5,0,0
sphinx-doc__sphinx-8459,0.06923835,7,0,0
scikit-learn__scikit-learn-15100,0.0489663,13,0,0
scikit-learn__scikit-learn-13135,0.04979475,7,0,0
sympy__sympy-12489,0.0198153,5,0,0
matplotlib__matplotlib-24177,3.0039678000000003,159,0,0
pytest-dev__pytest-7521,0.0367839,2,0,0
sympy__sympy-18199,0.11292749999999999,13,0,0
django__django-16502,0.0217701,3,0,0
django__django-15503,0.03923325,3,0,0
django__django-11133,0.0269757,4,0,0
scikit-learn__scikit-learn-11578,0.43879995,69,0,0
django__django-11276,0.0296127,9,0,0
scikit-learn__scikit-learn-11310,0.02614275,3,0,0
django__django-11163,0.0087255,3,0,0
astropy__astropy-14369,0.058531049999999994,4,0,0
sympy__sympy-13877,0.1269,14,0,0
django__django-11749,0.0283896,3,0,0
django__django-16595,0.08080604999999999,9,0,0
matplotlib__matplotlib-21568,3.0209800500000004,118,0,0
sympy__sympy-23413,0.08870130000000001,7,0,0
django__django-15127,0.024093450000000002,3,0,0
psf__requests-1142,0.028857599999999997,3,0,0
django__django-11119,0.0133407,3,0,0
django__django-16938,0.039110849999999996,3,0,0
django__django-13925,0.0224271,3,0,0
django__django-15629,0.06705495,7,0,0
scikit-learn__scikit-learn-13779,0.07708635,4,0,0
django__django-16429,0.047990700000000004,8,0,0
